# u, v, x, y, z
435,217,8.736000061035156,-1.746999979019165,-0.4659999907016754
493,138,9.211999893188477,-2.816999912261963,1.218999981880188
493,214,8.640000343322754,-2.999000072479248,-0.5899999737739563
597,121,8.064000129699707,-4.369999885559082,1.1150000095367432
597,260,8.17199993133545,-4.3429999351501465,-1.0980000495910645
79,138,6.047999858856201,3.3980000019073486,0.5899999737739563
69,257,6.014999866485596,3.5299999713897705,-0.7720000147819519
172,153,7.540999889373779,2.819999933242798,0.5139999985694885
168,251,7.410999774932861,2.634999990463257,-0.9789999723434448
241,164,8.64900016784668,1.7899999618530273,0.4950000047683716
236,246,8.66100025177002,1.86899995803833,-0.9139999747276306
296,174,10.112000465393066,1.0779999494552612,0.2809999883174896
291,248,9.774999618530273,1.003999948501587,-1.1460000276565552
381,165,9.293000221252441,-0.8050000071525574,0.38600000739097595
378,285,9.050999641418457,-0.7590000033378601,-1.8370000123977661
405,161,8.97700023651123,-1.1519999504089355,0.515999972820282
403,289,8.708999633789062,-1.190000057220459,-1.7990000247955322
433,162,8.567999839782715,-1.6130000352859497,0.5059999823570251
430,294,8.557000160217285,-1.6670000553131104,-1.7680000066757202
462,159,8.199000358581543,-2.0139999389648438,0.5709999799728394
456,295,8.057000160217285,-1.9160000085830688,-1.7769999504089355
490,157,7.813000202178955,-2.382999897003174,0.652999997138977
491,302,7.677000045776367,-2.3450000286102295,-1.7699999809265137
526,154,7.486000061035156,-2.759000062942505,0.671999990940094
522,306,7.111000061035156,-2.5420000553131104,-1.7419999837875366
567,150,7.067999839782715,-3.2300000190734863,0.6570000052452087
567,311,6.883999824523926,-3.2269999980926514,-1.6180000305175781
